window_id,p_divergent,p_convergent,predicted_phase,confidence
0,0.9995486502696507,0.0004513497303493218,divergent,0.9995486502696507
1,0.9928053670765558,0.007194632923444278,divergent,0.9928053670765558
2,0.9583789210739574,0.04162107892604255,divergent,0.9583789210739574
3,0.9287215126375813,0.07127848736241878,divergent,0.9287215126375813
4,0.899930900222268,0.10006909977773211,divergent,0.899930900222268
5,0.8337554339989307,0.1662445660010693,divergent,0.8337554339989307
6,0.869509407301384,0.13049059269861601,divergent,0.869509407301384
7,0.8393343485417433,0.16066565145825668,divergent,0.8393343485417433
8,0.6442574390942285,0.35574256090577155,divergent,0.6442574390942285
9,0.7577734047325208,0.24222659526747922,divergent,0.7577734047325208
10,0.6870965649691887,0.3129034350308113,divergent,0.6870965649691887
11,0.7179998846327893,0.28200011536721076,divergent,0.7179998846327893
12,0.5472129353532572,0.4527870646467428,divergent,0.5472129353532572
13,0.22728631316967976,0.7727136868303202,convergent,0.7727136868303202
14,0.407008425918162,0.592991574081838,convergent,0.592991574081838
15,0.29305609906586555,0.7069439009341344,convergent,0.7069439009341344
16,0.3577063687653363,0.6422936312346637,convergent,0.6422936312346637
17,0.2825139081455631,0.7174860918544369,convergent,0.7174860918544369
18,0.20614864464284108,0.7938513553571589,convergent,0.7938513553571589
19,0.18114169573638336,0.8188583042636167,convergent,0.8188583042636167
20,0.18231259867502522,0.8176874013249747,convergent,0.8176874013249747
21,0.16339575065229295,0.8366042493477072,convergent,0.8366042493477072
22,0.0840883729855255,0.9159116270144745,convergent,0.9159116270144745
23,0.049464928295365,0.9505350717046349,convergent,0.9505350717046349
24,0.03032174450036971,0.9696782554996303,convergent,0.9696782554996303
25,0.5,0.5,divergent,0.5
26,0.0,1.0,convergent,1.0
