window_id,t_start,t_end,num_moves,fore_weight,back_weight,link_density,fore_ratio,back_ratio,dwell_ms,hover_ms,apm_rolling,gap_prev_ms,episode,phase_raw,phase_smooth
0,2025-10-31T02:20:25+00:00,2025-10-31T02:20:55+00:00,2,4.580972760915758,0.18307542800903326,2.3820240944623956,0.9615712557219939,0.03842853437253278,295.0,126.0,25.65,1050.0,TeamX,divergent,divergent
1,2025-10-31T02:20:55+00:00,2025-10-31T02:21:25+00:00,1,6.499996066093446,0.2580886781215669,6.7580847442150125,0.9618102391875548,0.03818961284154959,256.0,88.0,27.7,1100.0,TeamX,divergent,divergent
2,2025-10-31T02:21:25+00:00,2025-10-31T02:21:55+00:00,1,2.2281197309494027,0.6861131191253664,2.914232850074769,0.7645644946757574,0.23543516218088098,342.0,63.0,25.3,1300.0,TeamX,incubation,divergent
3,2025-10-31T02:21:55+00:00,2025-10-31T02:22:25+00:00,2,8.643894225358965,2.4925552606582646,5.5682247430086145,0.7761803670040214,0.2238195432007606,194.0,104.0,32.9,950.0,TeamX,divergent,incubation
4,2025-10-31T02:22:25+00:00,2025-10-31T02:22:55+00:00,1,3.3649065494537362,0.8601612448692325,4.225067794322968,0.7964146179051587,0.2035851454123047,322.0,72.0,20.8,1400.0,TeamX,incubation,divergent
5,2025-10-31T02:22:55+00:00,2025-10-31T02:23:25+00:00,1,1.3201473653316502,0.21347308158874534,1.5336204469203956,0.8608039278418973,0.1391954201067103,280.0,101.0,26.9,1000.0,TeamX,divergent,divergent
6,2025-10-31T02:23:25+00:00,2025-10-31T02:23:55+00:00,1,1.4180513024330146,0.32004216313362144,1.738093465566636,0.8158654955331878,0.18413392912409082,188.0,124.0,28.5,900.0,TeamX,divergent,divergent
7,2025-10-31T02:23:55+00:00,2025-10-31T02:24:25+00:00,1,4.454330116510392,1.7852998673915867,6.239629983901979,0.7138771712625958,0.28612266847151624,230.0,66.0,19.2,1200.0,TeamX,incubation,divergent
8,2025-10-31T02:24:25+00:00,2025-10-31T02:24:55+00:00,1,3.2849959433078775,1.6343467831611638,4.919342726469042,0.6677711755803145,0.3322286211405376,170.0,90.0,33.0,1100.0,TeamX,divergent,incubation
9,2025-10-31T02:24:55+00:00,2025-10-31T02:25:25+00:00,2,6.378950148820879,4.9343659579753885,5.656658053398134,0.5638443693042814,0.4361555423043131,273.0,118.0,27.65,1100.0,TeamX,conflict,divergent
10,2025-10-31T02:25:25+00:00,2025-10-31T02:25:55+00:00,1,2.5242401361465463,1.5445476174354558,4.0687877535820025,0.6203910522325112,0.37960870199409996,245.0,84.0,21.9,900.0,TeamX,divergent,conflict
11,2025-10-31T02:25:55+00:00,2025-10-31T02:26:25+00:00,1,2.307912260293961,2.561020374298096,4.868932634592057,0.474007746562216,0.5259920480540029,192.0,131.0,23.5,800.0,TeamX,conflict,incubation
12,2025-10-31T02:26:25+00:00,2025-10-31T02:26:55+00:00,2,5.260046213865281,8.64433139562607,6.952188804745676,0.3783014229974067,0.6216985050828026,237.5,79.0,26.85,1200.0,TeamX,incubation,incubation
13,2025-10-31T02:26:55+00:00,2025-10-31T02:27:25+00:00,1,1.4512896239757542,4.221498340368272,5.672787964344026,0.2558335296972526,0.7441662940226131,228.0,120.0,29.1,900.0,TeamX,convergent,incubation
14,2025-10-31T02:27:25+00:00,2025-10-31T02:27:55+00:00,1,0.7387354075908664,0.8834779858589179,1.6222133934497842,0.4553870379733714,0.5446123455852977,310.0,80.0,20.5,1200.0,TeamX,incubation,convergent
15,2025-10-31T02:27:55+00:00,2025-10-31T02:28:25+00:00,2,1.519242256879807,4.536845833063127,3.028044044971467,0.250861939828914,0.7491378950480198,186.0,109.0,28.4,950.0,TeamX,convergent,convergent
16,2025-10-31T02:28:25+00:00,2025-10-31T02:28:55+00:00,1,0.45480999350547807,2.7557976245880136,3.2106076180934915,0.14165849768868782,0.8583411908438868,210.0,130.0,28.2,900.0,TeamX,convergent,convergent
17,2025-10-31T02:28:55+00:00,2025-10-31T02:29:25+00:00,1,0.5628805160522463,4.142787516117097,4.705668032169343,0.11961753200325584,0.880382255487111,190.0,74.0,26.1,1100.0,TeamX,convergent,convergent
18,2025-10-31T02:29:25+00:00,2025-10-31T02:29:55+00:00,1,0.3266170322895051,4.153887301683427,4.480504333972932,0.07289736490501816,0.9271024119058714,310.0,70.0,22.9,1200.0,TeamX,incubation,convergent
19,2025-10-31T02:29:55+00:00,2025-10-31T02:30:25+00:00,2,0.3482202291488648,10.856642305850984,5.602431267499925,0.03107759662231973,0.968922314130721,290.0,100.0,25.25,950.0,TeamX,convergent,incubation
