window_id,t_start,t_end,num_moves,fore_weight,back_weight,link_density,fore_ratio,back_ratio,dwell_ms,hover_ms,apm_rolling,gap_prev_ms,episode,phase_raw,phase_smooth
0,2025-10-31T02:20:39.797018+00:00,2025-10-31T02:21:09.797018+00:00,3,43.896742755716495,1.2912997765974563,15.06268084410465,0.9714238396784308,0.02857613819182166,293.6666666666667,96.0,29.733333333333334,511.3333333333333,TeamX,divergent,incubation
1,2025-10-31T02:21:09.797018+00:00,2025-10-31T02:21:39.797018+00:00,3,43.549150553616606,6.251037402586503,16.600062652067702,0.8744776167800489,0.125522363139706,218.66666666666666,144.66666666666666,31.166666666666668,1276.0,TeamX,incubation,incubation
2,2025-10-31T02:21:39.797018+00:00,2025-10-31T02:22:09.797018+00:00,3,32.89736572178927,8.59692538868297,13.831430370157413,0.7928166513650852,0.20718332453521476,261.6666666666667,137.33333333333334,35.1,1640.6666666666667,TeamX,incubation,incubation
3,2025-10-31T02:22:09.797018+00:00,2025-10-31T02:22:39.797018+00:00,3,34.27843197909268,13.663275458595967,15.980569145896217,0.7150023037590628,0.284997675382273,250.33333333333334,82.33333333333333,19.5,789.6666666666666,TeamX,conflict,incubation
4,2025-10-31T02:22:39.797018+00:00,2025-10-31T02:23:09.797018+00:00,3,30.609157670627937,19.20356232469732,16.604239998441752,0.6144847552796905,0.3855152246451164,170.33333333333334,140.0,32.53333333333333,887.0,TeamX,divergent,incubation
5,2025-10-31T02:23:09.797018+00:00,2025-10-31T02:23:39.797018+00:00,3,27.907806006344877,25.821179411628027,17.909661805990968,0.5194180621469797,0.4805819192410928,266.3333333333333,105.33333333333333,37.333333333333336,1463.6666666666667,TeamX,incubation,incubation
6,2025-10-31T02:23:39.797018+00:00,2025-10-31T02:24:09.797018+00:00,3,22.00951251116666,28.936147429726336,16.98188664696433,0.43201937328287937,0.5679806070883636,263.3333333333333,167.33333333333334,23.8,1086.6666666666667,TeamX,conflict,incubation
7,2025-10-31T02:24:09.797018+00:00,2025-10-31T02:24:39.797018+00:00,3,15.851281642913817,32.59736730835654,16.149549650423452,0.3271769524817933,0.6728230268777967,403.6666666666667,100.33333333333333,24.233333333333334,1374.6666666666667,TeamX,incubation,incubation
8,2025-10-31T02:24:39.797018+00:00,2025-10-31T02:25:09.797018+00:00,3,11.188150600953534,34.87357388843189,15.353908163128475,0.24289473488203908,0.7571052434079623,316.6666666666667,152.33333333333334,28.5,1043.3333333333333,TeamX,convergent,incubation
9,2025-10-31T02:25:09.797018+00:00,2025-10-31T02:25:39.797018+00:00,3,6.916803490031849,34.14510794119401,13.68730381040862,0.16844815744071168,0.8315518182058197,245.0,82.66666666666667,20.933333333333334,1384.6666666666667,TeamX,incubation,incubation
10,2025-10-31T02:25:39.797018+00:00,2025-10-31T02:26:09.797018+00:00,3,3.0658507563851094,39.46144693548029,14.175765897288466,0.07209135897859283,0.9279086175070992,261.6666666666667,126.66666666666667,34.833333333333336,1264.6666666666667,TeamX,incubation,incubation
11,2025-10-31T02:26:09.797018+00:00,2025-10-31T02:26:39.797018+00:00,2,0.3381064588373357,27.667436881498855,14.002771670168094,0.012072840103677733,0.987927124189107,199.0,171.0,42.45,1115.5,TeamX,convergent,incubation
