window_id,p_divergent,p_convergent,predicted_phase,confidence
0,0.9977211559081237,0.0022788440918762405,divergent,0.9977211559081237
1,0.9902067987821126,0.009793201217887406,divergent,0.9902067987821126
2,0.9262417073310565,0.07375829266894351,divergent,0.9262417073310565
3,0.8949285946325297,0.10507140536747027,divergent,0.8949285946325297
4,0.8705793944876398,0.12942060551236031,divergent,0.8705793944876398
5,0.8513191606015241,0.1486808393984759,divergent,0.8513191606015241
6,0.8318666360991231,0.1681333639008768,divergent,0.8318666360991231
7,0.7542887934150192,0.24571120658498077,divergent,0.7542887934150192
8,0.6942166285178375,0.30578337148216245,divergent,0.6942166285178375
9,0.5800077346613638,0.41999226533863615,divergent,0.5800077346613638
10,0.5794385032704706,0.4205614967295293,divergent,0.5794385032704706
11,0.4457430236888984,0.5542569763111016,convergent,0.5542569763111016
12,0.3223419442724688,0.6776580557275312,convergent,0.6776580557275312
13,0.19931252364267918,0.8006874763573208,convergent,0.8006874763573208
14,0.25535042752006376,0.7446495724799361,convergent,0.7446495724799361
15,0.14258294984331316,0.8574170501566869,convergent,0.8574170501566869
16,0.06383496375810391,0.9361650362418962,convergent,0.9361650362418962
17,0.03982280785176977,0.9601771921482303,convergent,0.9601771921482303
18,0.0169089551932923,0.9830910448067077,convergent,0.9830910448067077
19,0.0019434404916137313,0.9980565595083863,convergent,0.9980565595083863
